transaction_id,transaction_date,expense_category,vendor,department,amount_usd,approved_by,payment_method,budget_code,over_budget,recurring,quarter
TXN10027,2024-08-10,Marketing,LegalZoom,HR,400,MGR08,Wire Transfer,BU003,Yes,Yes,Q2
TXN10028,2024-05-20,Facilities,Unknown,Sales,390,MGR02,Wire Transfer,BU010,Yes,No,Q3
TXN10029,2024-11-23,Cloud Infrastructure,Zoom,Sales,1850,MGR13,Corporate Card,BU015,No,Yes,Q4
TXN10030,2024-01-30,Office Supplies,Unknown,Engineering,90,MGR15,Wire Transfer,BU004,No,No,Q4
TXN10031,2024-02-08,Salaries,Coursera for Teams,Engineering,3880,MGR08,Reimbursement,BU005,No,No,Q2
TXN10032,2024-12-09,Facilities,Swiggy for Teams,HR,4150,MGR18,Corporate Card,BU001,No,Yes,Q3
TXN10033,2024-11-22,Marketing,OLA Business,Engineering,310,MGR07,Direct Debit,BU007,No,No,Q4
TXN10034,2024-07-26,Salaries,OLA Business,Marketing,3580,MGR02,Corporate Card,BU008,Yes,No,Q4
TXN10035,2024-07-05,Cloud Infrastructure,Zoom,Sales,200,MGR05,Corporate Card,BU015,No,No,Q3
TXN10036,2024-09-19,Training,Microsoft,Operations,2570,MGR17,Wire Transfer,BU006,No,Yes,Q2
TXN10037,2024-12-13,Software Subscriptions,Swiggy for Teams,HR,250,MGR10,Reimbursement,BU009,No,No,Q1
TXN10038,2024-03-22,Salaries,AWS,HR,2300,MGR08,Wire Transfer,BU003,No,No,Q3
TXN10039,2024-01-16,Facilities,WeWork,Finance,120,MGR19,Wire Transfer,BU002,No,Yes,Q3
TXN10040,2024-03-14,R&D,OLA Business,Sales,2440,MGR11,Wire Transfer,BU005,No,Yes,Q4
TXN10041,2024-11-07,Cloud Infrastructure,Salesforce,Sales,3120,MGR19,Wire Transfer,BU013,Yes,No,Q4
TXN10042,2024-12-13,R&D,Coursera for Teams,Sales,110,MGR20,Corporate Card,BU009,Yes,No,Q1
TXN10043,2024-08-12,Salaries,Unknown,Engineering,5480,MGR11,Corporate Card,BU011,No,Yes,Q3
TXN10044,2024-01-18,Salaries,AWS,Marketing,2260,MGR08,Corporate Card,BU001,No,No,Q2
TXN10045,2024-03-05,Salaries,Salesforce,Operations,60,MGR10,Corporate Card,BU001,No,No,Q3
TXN10046,2024-02-04,Travel,Zoom,Engineering,370,MGR05,Corporate Card,BU010,No,Yes,Q3
TXN10047,2024-04-30,Salaries,Swiggy for Teams,Marketing,2310,MGR17,Wire Transfer,BU003,No,Yes,Q2
TXN10048,2024-11-26,Salaries,OLA Business,Sales,1580,MGR08,Wire Transfer,BU010,No,No,Q2
TXN10049,2024-07-06,Facilities,WeWork,Marketing,760,MGR14,Corporate Card,BU003,No,No,Q1
TXN10050,2024-07-04,Training,AWS,Engineering,2030,MGR10,Corporate Card,BU005,Yes,No,Q1
TXN10051,2024-07-15,Cloud Infrastructure,OLA Business,Sales,230,MGR09,Corporate Card,BU004,No,Yes,Q4
TXN10052,2024-10-17,Marketing,Microsoft,Engineering,700,MGR02,Corporate Card,BU006,No,No,Q1
TXN10053,2024-01-17,Software Subscriptions,Microsoft,Operations,240,MGR18,Corporate Card,BU012,Yes,No,Q1
TXN10054,2024-11-05,Marketing,Microsoft,Sales,780,MGR19,Wire Transfer,BU008,No,Yes,Q2
TXN10055,2024-03-19,Cloud Infrastructure,Coursera for Teams,Marketing,2210,MGR06,Corporate Card,BU008,No,Yes,Q4
TXN10056,2024-12-13,Office Supplies,Unknown,Engineering,1700,MGR14,Wire Transfer,BU015,No,No,Q2
TXN10057,2024-08-18,Salaries,Zoom,Finance,870,MGR18,Wire Transfer,BU011,No,Yes,Q1
TXN10058,2024-07-08,Marketing,Salesforce,Marketing,2180,MGR16,Corporate Card,BU004,No,Yes,Q3
TXN10059,2024-07-09,Training,OLA Business,Marketing,2450,MGR02,Corporate Card,BU001,No,Yes,Q2
TXN10060,2024-08-15,Facilities,Salesforce,Sales,5750,MGR12,Corporate Card,BU013,No,Yes,Q2
TXN10061,2024-02-09,Cloud Infrastructure,Salesforce,HR,2700,MGR13,Corporate Card,BU014,Yes,No,Q4
TXN10062,2024-10-20,Marketing,OLA Business,Marketing,1460,MGR17,Corporate Card,BU014,No,Yes,Q2
TXN10063,2024-03-11,Salaries,Unknown,Engineering,2040,MGR11,Reimbursement,BU007,No,No,Q4
TXN10064,2024-09-28,Software Subscriptions,Coursera for Teams,Finance,890,MGR14,Corporate Card,BU006,No,No,Q3
TXN10065,2024-07-06,Software Subscriptions,Coursera for Teams,Operations,480,MGR14,Direct Debit,BU005,No,No,Q3
TXN10066,2024-07-22,Software Subscriptions,Swiggy for Teams,Finance,1880,MGR05,Corporate Card,BU004,No,Yes,Q2
TXN10067,2024-06-09,Software Subscriptions,Zoom,Engineering,1650,MGR10,Reimbursement,BU006,No,No,Q4
TXN10068,2024-11-28,Software Subscriptions,Swiggy for Teams,Sales,940,MGR13,Wire Transfer,BU008,No,No,Q3
TXN10069,2024-05-22,Software Subscriptions,Unknown,Engineering,530,MGR06,Corporate Card,BU006,Yes,No,Q1
TXN10070,2024-05-07,Travel,Salesforce,HR,490,MGR18,Corporate Card,BU003,No,No,Q1
TXN10071,2024-02-28,Cloud Infrastructure,Zoom,HR,410,MGR16,Wire Transfer,BU009,Yes,No,Q2
TXN10072,2024-01-14,R&D,Swiggy for Teams,HR,3000,MGR08,Reimbursement,BU003,Yes,No,Q4
TXN10073,2024-04-05,Facilities,Swiggy for Teams,Marketing,2740,MGR08,Corporate Card,BU004,No,No,Q4
TXN10074,2024-09-12,Travel,Microsoft,Sales,2600,MGR10,Corporate Card,BU013,No,No,Q3
TXN10075,2024-09-22,Salaries,Coursera for Teams,HR,190,MGR05,Corporate Card,BU005,No,Yes,Q3
TXN10076,2024-07-17,Facilities,LegalZoom,Operations,430,MGR15,Corporate Card,BU011,No,Yes,Q2
TXN10077,2024-10-14,Software Subscriptions,Swiggy for Teams,Operations,490,MGR02,Direct Debit,BU002,No,No,Q3
TXN10078,2024-03-01,Facilities,AWS,Engineering,320,MGR18,Wire Transfer,BU011,No,Yes,Q4
TXN10079,2024-05-14,Salaries,Microsoft,HR,6220,MGR14,Corporate Card,BU010,No,No,Q3
TXN10080,2024-05-13,R&D,Salesforce,Marketing,1080,MGR14,Corporate Card,BU015,No,Yes,Q1
TXN10081,2024-12-26,Facilities,WeWork,Operations,990,MGR18,Corporate Card,BU011,No,No,Q1
TXN10082,2024-08-16,Cloud Infrastructure,Coursera for Teams,Finance,380,MGR17,Reimbursement,BU010,No,No,Q2
TXN10083,2024-04-19,Cloud Infrastructure,Unknown,Sales,1870,MGR05,Direct Debit,BU002,No,Yes,Q3
TXN10084,2024-11-09,Software Subscriptions,OLA Business,Finance,9230,MGR13,Corporate Card,BU006,No,No,Q4
TXN10085,2024-05-26,Travel,Unknown,Operations,730,MGR08,Corporate Card,BU015,No,No,Q2
TXN10086,2024-12-21,Salaries,Microsoft,Operations,500,MGR09,Direct Debit,BU014,No,No,Q2
TXN10087,2024-09-08,Software Subscriptions,AWS,Engineering,600,MGR07,Corporate Card,BU002,Yes,No,Q3
TXN10088,2024-04-12,Travel,Unknown,Engineering,450,MGR11,Corporate Card,BU010,No,Yes,Q4
TXN10089,2024-03-03,Marketing,AWS,HR,660,MGR03,Corporate Card,BU001,Yes,No,Q2
TXN10090,2024-03-10,Facilities,OLA Business,Sales,320,MGR15,Corporate Card,BU008,No,Yes,Q2
TXN10091,2024-02-07,Travel,WeWork,HR,230,MGR12,Corporate Card,BU010,Yes,Yes,Q1
TXN10092,2024-08-19,Marketing,Coursera for Teams,Engineering,650,MGR03,Direct Debit,BU014,No,No,Q2
TXN10093,2024-03-29,Salaries,Coursera for Teams,Marketing,730,MGR18,Wire Transfer,BU010,No,No,Q4
TXN10094,2024-08-15,Salaries,LegalZoom,Sales,480,MGR07,Corporate Card,BU013,Yes,No,Q2
TXN10095,2024-02-14,Software Subscriptions,AWS,Marketing,3820,MGR02,Corporate Card,BU001,No,No,Q3
TXN10096,2024-12-15,R&D,OLA Business,HR,1100,MGR09,Wire Transfer,BU010,No,Yes,Q3
TXN10097,2024-06-12,Salaries,Swiggy for Teams,Engineering,1620,MGR13,Corporate Card,BU014,No,No,Q2
TXN10098,2024-12-07,Salaries,Swiggy for Teams,Sales,1670,MGR20,Corporate Card,BU006,No,No,Q1
TXN10099,2024-06-26,Travel,Salesforce,HR,750,MGR20,Corporate Card,BU012,Yes,Yes,Q4
TXN10100,2024-12-29,Salaries,AWS,Operations,860,MGR02,Wire Transfer,BU014,No,No,Q3
TXN10101,2024-02-03,Legal & Compliance,Zoom,HR,240,MGR03,Corporate Card,BU001,No,No,Q3
TXN10102,2024-10-08,Software Subscriptions,Unknown,Finance,1460,MGR07,Corporate Card,BU008,No,Yes,Q3
TXN10103,2024-10-04,Marketing,Salesforce,Operations,450,MGR19,Corporate Card,BU014,No,No,Q4
TXN10104,2024-05-28,Travel,Salesforce,Marketing,310,MGR18,Corporate Card,BU005,Yes,Yes,Q2
TXN10105,2024-06-02,R&D,Salesforce,Operations,3170,MGR07,Direct Debit,BU003,No,Yes,Q2
TXN10106,2024-03-21,Travel,OLA Business,HR,130,MGR16,Wire Transfer,BU005,No,No,Q2
TXN10107,2024-12-30,Facilities,Coursera for Teams,Operations,5230,MGR07,Corporate Card,BU015,Yes,No,Q2
TXN10108,2024-12-29,Marketing,Salesforce,Finance,4760,MGR11,Corporate Card,BU013,Yes,No,Q2
TXN10109,2024-12-24,Salaries,Coursera for Teams,HR,510,MGR10,Wire Transfer,BU001,No,No,Q4
TXN10110,2024-11-22,Cloud Infrastructure,Coursera for Teams,Finance,5670,MGR01,Corporate Card,BU001,No,No,Q4
TXN10111,2024-03-30,Software Subscriptions,AWS,Operations,230,MGR07,Reimbursement,BU012,No,No,Q2
TXN10112,2024-07-04,Salaries,OLA Business,Finance,2190,MGR07,Wire Transfer,BU014,No,Yes,Q2
TXN10113,2024-09-17,Marketing,Coursera for Teams,Operations,680,MGR04,Corporate Card,BU004,No,No,Q1
TXN10114,2024-04-24,Travel,Salesforce,Sales,80,MGR16,Direct Debit,BU009,No,Yes,Q4
TXN10115,2024-03-03,Legal & Compliance,OLA Business,Operations,310,MGR08,Corporate Card,BU014,No,No,Q2
TXN10116,2024-04-12,Travel,Salesforce,Engineering,540,MGR20,Corporate Card,BU009,No,No,Q3
TXN10117,2024-03-12,Cloud Infrastructure,Microsoft,Finance,1690,MGR07,Wire Transfer,BU001,No,Yes,Q4
TXN10118,2024-05-01,Marketing,Unknown,Finance,380,MGR13,Reimbursement,BU003,No,No,Q2
TXN10119,2024-09-09,Software Subscriptions,Microsoft,Marketing,480,MGR08,Wire Transfer,BU013,Yes,No,Q4
TXN10120,2024-01-14,Cloud Infrastructure,Microsoft,Marketing,1270,MGR18,Wire Transfer,BU012,No,Yes,Q2
TXN10121,2024-07-03,Salaries,AWS,Engineering,1190,MGR11,Corporate Card,BU004,No,Yes,Q3
TXN10122,2024-10-10,Marketing,Zoom,Finance,600,MGR10,Wire Transfer,BU002,No,No,Q2
TXN10123,2024-10-20,Salaries,Unknown,Finance,460,MGR13,Corporate Card,BU007,No,Yes,Q2
TXN10124,2024-07-07,Office Supplies,AWS,Marketing,2050,MGR15,Wire Transfer,BU003,No,No,Q4
TXN10125,2024-08-27,Facilities,Salesforce,Marketing,460,MGR18,Corporate Card,BU001,No,No,Q3
TXN10126,2024-10-09,Marketing,AWS,Operations,160,MGR12,Corporate Card,BU001,No,No,Q2
TXN10127,2024-03-07,Office Supplies,Salesforce,HR,410,MGR10,Direct Debit,BU003,No,Yes,Q2
TXN10128,2024-11-09,Training,Zoom,Finance,1280,MGR09,Corporate Card,BU006,No,No,Q1
TXN10129,2024-02-14,Travel,Coursera for Teams,Finance,560,MGR12,Corporate Card,BU004,No,Yes,Q3
TXN10130,2024-02-03,Office Supplies,AWS,Operations,360,MGR17,Corporate Card,BU001,No,No,Q2
TXN10131,2024-06-07,Marketing,LegalZoom,Finance,150,MGR16,Corporate Card,BU007,No,Yes,Q4
TXN10132,2024-07-22,Facilities,Coursera for Teams,Engineering,560,MGR15,Wire Transfer,BU002,No,No,Q2
TXN10133,2024-09-02,R&D,WeWork,Marketing,870,MGR04,Corporate Card,BU012,No,No,Q2
TXN10134,2024-09-26,Cloud Infrastructure,AWS,Marketing,200,MGR16,Corporate Card,BU005,No,No,Q4
TXN10135,2024-07-29,Salaries,Salesforce,HR,530,MGR11,Corporate Card,BU008,No,Yes,Q3
TXN10136,2024-07-28,Cloud Infrastructure,Unknown,Marketing,180,MGR07,Corporate Card,BU007,No,Yes,Q4
TXN10137,2024-10-21,Salaries,AWS,Sales,570,MGR12,Corporate Card,BU011,No,No,Q3
TXN10138,2024-02-07,Marketing,Salesforce,Engineering,5270,MGR11,Corporate Card,BU012,Yes,Yes,Q2
TXN10139,2024-03-05,R&D,Zoom,Engineering,820,MGR14,Corporate Card,BU008,No,No,Q3
TXN10140,2024-06-11,Travel,Microsoft,Operations,100,MGR02,Corporate Card,BU013,No,Yes,Q1
TXN10141,2024-11-24,Marketing,AWS,Sales,990,MGR19,Reimbursement,BU010,No,No,Q2
TXN10142,2024-02-07,Facilities,Swiggy for Teams,Finance,3210,MGR08,Reimbursement,BU014,No,No,Q1
TXN10143,2024-08-18,Training,WeWork,HR,130,MGR05,Corporate Card,BU011,No,Yes,Q3
TXN10144,2024-08-26,Travel,Swiggy for Teams,Engineering,190,MGR01,Corporate Card,BU006,No,No,Q1
TXN10145,2024-12-14,Travel,Coursera for Teams,Sales,910,MGR09,Wire Transfer,BU007,No,Yes,Q2
TXN10146,2024-09-21,Salaries,Coursera for Teams,Sales,600,MGR18,Wire Transfer,BU009,Yes,Yes,Q2
TXN10147,2024-06-25,Salaries,Microsoft,Engineering,2850,MGR19,Direct Debit,BU006,No,Yes,Q1
TXN10148,2024-03-06,Salaries,Microsoft,Operations,540,MGR19,Corporate Card,BU009,No,No,Q1
TXN10149,2024-10-09,Marketing,Coursera for Teams,Sales,1790,MGR14,Wire Transfer,BU015,No,No,Q2
TXN10150,2024-11-23,R&D,AWS,Marketing,4160,MGR10,Reimbursement,BU013,No,No,Q2
TXN10151,2024-10-27,Office Supplies,OLA Business,Sales,230,MGR05,Corporate Card,BU012,No,Yes,Q1
TXN10152,2024-04-03,Salaries,AWS,Finance,1630,MGR07,Corporate Card,BU002,Yes,No,Q1
TXN10153,2024-03-07,Salaries,WeWork,Engineering,410,MGR11,Corporate Card,BU013,No,Yes,Q4
TXN10154,2024-08-09,Software Subscriptions,Coursera for Teams,Finance,50,MGR08,Corporate Card,BU002,Yes,Yes,Q3
TXN10155,2024-09-14,Software Subscriptions,Swiggy for Teams,Operations,1180,MGR13,Corporate Card,BU014,No,Yes,Q3
TXN10156,2024-01-29,Facilities,Microsoft,HR,1370,MGR19,Reimbursement,BU002,Yes,No,Q4
TXN10157,2024-03-04,Facilities,Swiggy for Teams,Marketing,100,MGR08,Corporate Card,BU006,No,No,Q1
TXN10158,2024-09-22,Software Subscriptions,Coursera for Teams,Engineering,390,MGR16,Corporate Card,BU002,No,Yes,Q2
TXN10159,2024-03-19,Facilities,Zoom,Sales,310,MGR18,Reimbursement,BU003,No,No,Q4
TXN10160,2024-06-04,Software Subscriptions,Coursera for Teams,Marketing,1760,MGR11,Corporate Card,BU013,No,Yes,Q3
TXN10161,2024-03-25,Cloud Infrastructure,LegalZoom,Sales,100,MGR09,Corporate Card,BU008,Yes,No,Q4
TXN10162,2024-03-23,Travel,WeWork,Operations,760,MGR16,Corporate Card,BU008,No,Yes,Q4
TXN10163,2024-06-14,Facilities,LegalZoom,HR,50,MGR16,Corporate Card,BU011,Yes,Yes,Q1
TXN10164,2024-12-29,Travel,Unknown,Engineering,1050,MGR15,Corporate Card,BU012,No,No,Q4
TXN10165,2024-04-25,Salaries,Swiggy for Teams,Operations,770,MGR06,Reimbursement,BU004,No,No,Q4
TXN10166,2024-06-26,Legal & Compliance,Zoom,Operations,360,MGR12,Corporate Card,BU009,No,No,Q2
TXN10167,2024-09-22,Travel,WeWork,HR,3690,MGR06,Wire Transfer,BU008,Yes,No,Q4
TXN10168,2024-05-25,Salaries,Salesforce,Operations,50,MGR05,Corporate Card,BU001,No,No,Q1
TXN10169,2024-02-10,Travel,Unknown,Operations,650,MGR18,Direct Debit,BU008,Yes,No,Q3
TXN10170,2024-05-08,Cloud Infrastructure,OLA Business,Sales,2800,MGR16,Wire Transfer,BU001,No,No,Q2
TXN10171,2024-04-10,Marketing,LegalZoom,Finance,780,MGR06,Direct Debit,BU015,No,Yes,Q1
TXN10172,2024-11-21,Salaries,WeWork,Sales,3430,MGR18,Corporate Card,BU004,No,No,Q3
TXN10173,2024-10-09,R&D,WeWork,HR,390,MGR02,Reimbursement,BU010,No,No,Q2
TXN10174,2024-05-20,Marketing,LegalZoom,Marketing,540,MGR17,Reimbursement,BU006,No,Yes,Q3
TXN10175,2024-03-05,Travel,Unknown,HR,2920,MGR02,Wire Transfer,BU007,No,No,Q3
TXN10176,2024-11-16,Cloud Infrastructure,Zoom,HR,1950,MGR03,Corporate Card,BU010,Yes,Yes,Q2
TXN10177,2024-06-04,Legal & Compliance,Zoom,HR,11840,MGR02,Corporate Card,BU013,No,No,Q1
TXN10178,2024-11-10,R&D,Microsoft,HR,750,MGR01,Corporate Card,BU004,No,Yes,Q3
TXN10179,2024-09-30,Software Subscriptions,AWS,Operations,850,MGR14,Corporate Card,BU008,No,Yes,Q4
TXN10180,2024-02-17,Marketing,Unknown,HR,380,MGR05,Wire Transfer,BU008,No,Yes,Q3
TXN10181,2024-09-14,Facilities,Swiggy for Teams,Marketing,520,MGR08,Wire Transfer,BU014,No,No,Q3
TXN10182,2024-11-24,Legal & Compliance,Swiggy for Teams,HR,2430,MGR03,Wire Transfer,BU014,No,Yes,Q3
TXN10183,2024-03-27,Cloud Infrastructure,Unknown,Sales,660,MGR05,Corporate Card,BU014,No,No,Q2
TXN10184,2024-10-30,Office Supplies,LegalZoom,Operations,250,MGR01,Corporate Card,BU009,Yes,No,Q2
TXN10185,2024-10-24,Marketing,Swiggy for Teams,Sales,420,MGR07,Corporate Card,BU014,No,Yes,Q4
TXN10186,2024-03-19,Software Subscriptions,Swiggy for Teams,Operations,600,MGR17,Corporate Card,BU006,No,No,Q4
TXN10187,2024-03-28,R&D,AWS,Sales,270,MGR15,Wire Transfer,BU004,No,Yes,Q2
TXN10188,2024-12-03,Software Subscriptions,WeWork,Engineering,380,MGR12,Corporate Card,BU002,No,No,Q2
TXN10189,2024-11-15,Salaries,WeWork,Finance,200,MGR02,Wire Transfer,BU015,No,No,Q3
TXN10190,2024-11-05,Salaries,Unknown,Finance,400,MGR20,Wire Transfer,BU007,No,Yes,Q3
TXN10191,2024-06-21,Marketing,Coursera for Teams,Operations,2700,MGR20,Reimbursement,BU010,No,Yes,Q2
TXN10192,2024-10-15,Marketing,WeWork,Engineering,700,MGR16,Corporate Card,BU003,No,No,Q3
TXN10193,2024-01-22,Cloud Infrastructure,LegalZoom,Marketing,12750,MGR16,Wire Transfer,BU011,No,No,Q2
TXN10194,2024-01-15,Marketing,Salesforce,Engineering,270,MGR01,Corporate Card,BU013,No,Yes,Q2
TXN10195,2024-02-11,Office Supplies,Coursera for Teams,Operations,1190,MGR01,Corporate Card,BU012,No,Yes,Q4
TXN10196,2024-01-24,Marketing,AWS,Engineering,870,MGR18,Wire Transfer,BU003,No,No,Q2
TXN10197,2024-11-24,Legal & Compliance,LegalZoom,Marketing,1450,MGR18,Wire Transfer,BU003,No,Yes,Q4
TXN10198,2024-10-22,R&D,Zoom,Operations,320,MGR14,Corporate Card,BU004,No,No,Q1
TXN10199,2024-05-15,Cloud Infrastructure,AWS,Finance,430,MGR01,Corporate Card,BU002,Yes,No,Q2
TXN10200,2024-11-29,Legal & Compliance,Microsoft,HR,1080,MGR01,Wire Transfer,BU013,No,Yes,Q2
TXN10201,2024-04-17,Salaries,Swiggy for Teams,Engineering,360,MGR17,Corporate Card,BU013,No,No,Q4
TXN10202,2024-10-19,Cloud Infrastructure,OLA Business,Finance,80,MGR09,Wire Transfer,BU005,No,No,Q4
TXN10203,2024-08-01,R&D,Zoom,Finance,3210,MGR18,Reimbursement,BU003,No,No,Q1
TXN10204,2024-11-12,Salaries,Coursera for Teams,Sales,1930,MGR10,Wire Transfer,BU010,No,No,Q2
TXN10205,2024-11-23,Travel,LegalZoom,Marketing,400,MGR01,Wire Transfer,BU005,No,No,Q3
TXN10206,2024-01-16,R&D,Zoom,HR,860,MGR17,Wire Transfer,BU012,No,No,Q2
TXN10207,2024-09-11,Legal & Compliance,Microsoft,Engineering,2230,MGR14,Reimbursement,BU013,No,Yes,Q2
TXN10208,2024-11-17,Marketing,LegalZoom,Finance,3340,MGR06,Wire Transfer,BU007,No,No,Q3
TXN10209,2024-10-06,R&D,OLA Business,Finance,750,MGR04,Corporate Card,BU009,No,Yes,Q3
TXN10210,2024-05-28,Marketing,Coursera for Teams,Marketing,330,MGR04,Corporate Card,BU002,Yes,Yes,Q2
TXN10211,2024-11-24,Marketing,AWS,HR,3850,MGR17,Direct Debit,BU009,No,No,Q1
TXN10212,2024-06-03,Cloud Infrastructure,Unknown,HR,750,MGR05,Corporate Card,BU010,No,No,Q2
TXN10213,2024-09-04,Office Supplies,Zoom,Finance,560,MGR08,Wire Transfer,BU006,No,No,Q1
TXN10214,2024-05-05,Cloud Infrastructure,OLA Business,Finance,910,MGR07,Reimbursement,BU012,No,Yes,Q3
TXN10215,2024-12-16,Software Subscriptions,Microsoft,Finance,2660,MGR20,Wire Transfer,BU006,No,No,Q4
TXN10216,2024-07-26,Travel,Zoom,Finance,630,MGR17,Corporate Card,BU011,Yes,No,Q1
TXN10217,2024-06-01,Salaries,Salesforce,Sales,2170,MGR09,Corporate Card,BU003,Yes,No,Q1
TXN10218,2024-08-20,Salaries,Salesforce,Sales,520,MGR12,Corporate Card,BU014,No,No,Q1
TXN10219,2024-02-07,Travel,Coursera for Teams,HR,1380,MGR09,Corporate Card,BU010,No,No,Q4
TXN10220,2024-12-18,R&D,AWS,Operations,210,MGR13,Direct Debit,BU013,No,No,Q1
TXN10221,2024-01-31,Salaries,Coursera for Teams,Engineering,2400,MGR03,Wire Transfer,BU009,No,Yes,Q4
TXN10222,2024-03-21,Software Subscriptions,Coursera for Teams,Marketing,300,MGR12,Wire Transfer,BU004,No,No,Q2
TXN10223,2024-08-13,Marketing,Swiggy for Teams,Operations,1150,MGR13,Corporate Card,BU005,Yes,Yes,Q2
TXN10224,2024-07-31,Legal & Compliance,AWS,Sales,110,MGR15,Corporate Card,BU003,No,No,Q1
TXN10225,2024-09-04,Salaries,Swiggy for Teams,Sales,690,MGR19,Corporate Card,BU005,No,No,Q3
TXN10226,2024-08-25,Software Subscriptions,LegalZoom,Sales,830,MGR08,Corporate Card,BU008,No,Yes,Q3
TXN10227,2024-04-14,Travel,OLA Business,Operations,290,MGR08,Wire Transfer,BU008,No,No,Q3
TXN10228,2024-06-23,Salaries,OLA Business,Sales,580,MGR10,Wire Transfer,BU014,No,No,Q2
TXN10229,2024-11-06,Marketing,AWS,Operations,910,MGR03,Corporate Card,BU008,Yes,Yes,Q2
TXN10230,2024-03-14,Cloud Infrastructure,AWS,Sales,1310,MGR02,Wire Transfer,BU006,No,Yes,Q2
TXN10231,2024-06-09,R&D,LegalZoom,Finance,750,MGR03,Direct Debit,BU015,No,Yes,Q2
TXN10232,2024-06-12,Office Supplies,OLA Business,Finance,3290,MGR13,Corporate Card,BU015,No,Yes,Q2
TXN10233,2024-06-25,Facilities,LegalZoom,Engineering,2670,MGR13,Wire Transfer,BU001,No,No,Q3
TXN10234,2024-07-23,R&D,Unknown,Sales,640,MGR13,Corporate Card,BU011,No,No,Q2
TXN10235,2024-03-07,Facilities,Microsoft,Engineering,130,MGR18,Wire Transfer,BU010,No,Yes,Q2
TXN10236,2024-07-08,R&D,Salesforce,Operations,370,MGR16,Corporate Card,BU012,Yes,No,Q2
TXN10237,2024-09-20,Facilities,Unknown,Engineering,50,MGR02,Wire Transfer,BU006,Yes,No,Q1
TXN10238,2024-10-14,Salaries,Coursera for Teams,Sales,530,MGR01,Corporate Card,BU012,No,No,Q3
TXN10239,2024-02-24,Salaries,Zoom,Operations,3580,MGR06,Corporate Card,BU011,No,Yes,Q2
TXN10240,2024-06-12,Salaries,Swiggy for Teams,Operations,1720,MGR03,Reimbursement,BU010,No,No,Q1
