employee_id,hire_date,department,job_level,salary_usd,performance_score,training_hours,satisfaction_score,overtime_hours_monthly,tenure_years,attrition,gender,location
EMP1023,2021-05-17,Sales,Mid,55600,1,54,3.4,5,1.4,No,Female,Bengaluru
EMP1024,2018-02-24,Operations,Manager,47200,2,91,4.6,28,1.5,No,Female,Chennai
EMP1025,2021-02-23,Finance,Lead,118800,1,13,2.0,7,2.5,Yes,Male,Chennai
EMP1026,2019-02-12,HR,Junior,98400,4,119,2.9,32,9.9,No,Male,Mumbai
EMP1027,2022-01-06,Engineering,Junior,106800,5,9,2.8,16,7.3,No,Male,Delhi
EMP1028,2021-08-23,Engineering,Junior,93000,3,79,2.9,10,0.4,No,Male,Bengaluru
EMP1029,2021-12-07,Marketing,Junior,46800,5,15,3.5,12,1.7,No,Female,Mumbai
EMP1030,2021-01-21,Marketing,Junior,61900,2,53,2.9,10,2.8,No,Female,Chennai
EMP1031,2020-05-09,Sales,Senior,87200,5,94,2.8,30,2.4,No,Male,Mumbai
EMP1032,2019-03-28,HR,Junior,44400,3,105,2.9,27,0.8,No,Male,Chennai
EMP1033,2020-07-08,HR,Mid,92800,2,88,3.4,5,6.9,No,Non-binary,Hyderabad
EMP1034,2021-04-21,Operations,Lead,69000,3,76,3.1,15,4.0,No,Male,Chennai
EMP1035,2019-07-24,Operations,Junior,65600,3,69,4.4,3,6.4,No,Male,Chennai
EMP1036,2022-07-16,Operations,Lead,92800,3,43,1.2,34,6.9,No,Female,Chennai
EMP1037,2022-11-16,Marketing,Junior,86100,3,72,4.3,25,4.8,No,Female,Delhi
EMP1038,2018-01-14,HR,Junior,66000,4,44,4.4,11,2.0,No,Male,Chennai
EMP1039,2022-04-04,HR,Senior,104000,3,99,2.1,10,3.3,No,Male,Bengaluru
EMP1040,2022-07-09,Engineering,Senior,48000,3,55,2.9,36,0.6,Yes,Male,Bengaluru
EMP1041,2018-11-23,Marketing,Lead,90400,4,106,2.8,24,3.9,No,Female,Mumbai
EMP1042,2021-11-30,Finance,Senior,89800,4,83,1.9,17,0.7,No,Female,Delhi
EMP1043,2020-05-15,Marketing,Lead,67300,3,81,2.6,18,4.1,No,Male,Mumbai
EMP1044,2019-11-28,Finance,Junior,83200,3,106,1.2,22,0.9,No,Female,Bengaluru
EMP1045,2019-07-24,Engineering,Junior,43700,2,56,2.1,37,0.4,No,Female,Bengaluru
EMP1046,2018-11-15,Sales,Senior,98100,2,20,4.3,17,0.6,No,Male,Hyderabad
EMP1047,2019-03-17,HR,Lead,70400,4,67,2.1,25,0.0,Yes,Male,Chennai
EMP1048,2023-05-15,Engineering,Manager,61900,2,49,4.3,5,4.4,No,Female,Bengaluru
EMP1049,2022-04-13,HR,Mid,101200,3,32,3.1,3,4.6,No,Male,Mumbai
EMP1050,2019-11-21,Operations,Mid,57400,4,90,4.5,28,2.5,No,Male,Mumbai
EMP1051,2018-07-29,Sales,Senior,39800,2,6,3.3,33,0.6,No,Female,Chennai
EMP1052,2018-07-09,Sales,Mid,36100,4,69,1.1,16,0.3,No,Female,Chennai
EMP1053,2020-02-18,Engineering,Manager,90200,3,14,3.7,15,0.1,No,Female,Hyderabad
EMP1054,2018-07-18,Sales,Lead,43000,5,81,1.2,1,0.6,No,Female,Delhi
EMP1055,2020-01-06,Finance,Mid,118900,3,31,2.8,33,7.8,No,Female,Mumbai
EMP1056,2022-10-02,Sales,Senior,30000,4,119,4.7,7,1.0,Yes,Male,Chennai
EMP1057,2019-12-06,HR,Senior,117400,4,74,1.7,12,1.5,Yes,Female,Mumbai
EMP1058,2021-05-21,HR,Junior,80300,1,19,2.6,7,0.4,Yes,Male,Chennai
EMP1059,2019-06-26,HR,Lead,72600,4,87,3.9,29,0.9,No,Male,Bengaluru
EMP1060,2022-07-11,HR,Mid,61400,5,14,4.5,31,2.6,Yes,Female,Mumbai
EMP1061,2018-03-30,Finance,Lead,85000,4,47,3.7,35,3.3,No,Female,Bengaluru
EMP1062,2022-02-03,Marketing,Mid,74100,4,70,2.0,29,1.0,No,Male,Mumbai
EMP1063,2020-07-29,Operations,Lead,102600,5,20,3.7,0,0.2,No,Female,Delhi
EMP1064,2021-01-03,Engineering,Mid,77900,3,41,2.2,38,1.7,No,Male,Hyderabad
EMP1065,2018-09-13,HR,Junior,78800,3,25,3.9,16,0.9,No,Male,Bengaluru
EMP1066,2023-06-16,Sales,Lead,65900,4,107,4.8,19,0.9,No,Male,Chennai
EMP1067,2023-03-04,HR,Junior,73600,3,119,3.9,23,11.3,No,Female,Delhi
EMP1068,2020-02-15,Sales,Mid,82700,4,13,4.5,21,3.4,No,Female,Mumbai
EMP1069,2018-06-11,Operations,Manager,32200,5,56,1.0,28,2.8,No,Male,Bengaluru
EMP1070,2021-02-04,Operations,Manager,41300,3,36,3.9,21,1.9,No,Female,Mumbai
EMP1071,2019-08-24,Operations,Mid,93600,3,57,4.3,8,2.0,No,Male,Mumbai
EMP1072,2022-08-26,Sales,Senior,79300,4,20,1.2,36,2.7,No,Female,Mumbai
EMP1073,2021-07-11,HR,Mid,70400,3,81,4.5,9,4.2,Yes,Male,Hyderabad
EMP1074,2021-06-20,Operations,Junior,75500,4,68,2.0,35,4.2,Yes,Male,Hyderabad
EMP1075,2022-12-19,Finance,Mid,83700,3,2,3.7,36,0.7,No,Female,Chennai
EMP1076,2022-10-31,Sales,Senior,61500,4,86,4.2,27,2.4,No,Male,Bengaluru
EMP1077,2020-01-11,Sales,Senior,55500,2,89,3.7,27,1.9,No,Male,Delhi
EMP1078,2021-03-28,HR,Senior,79900,4,36,1.4,20,7.2,No,Female,Delhi
EMP1079,2019-01-29,Sales,Senior,50500,3,87,3.4,23,3.5,No,Non-binary,Delhi
EMP1080,2021-12-13,Sales,Junior,85200,4,48,3.2,39,2.7,No,Male,Mumbai
EMP1081,2018-05-23,Operations,Mid,32400,2,18,4.6,1,0.4,No,Male,Hyderabad
EMP1082,2018-04-04,HR,Junior,100700,4,114,2.6,7,3.3,No,Male,Bengaluru
EMP1083,2021-09-16,Operations,Mid,86800,5,88,2.3,26,0.4,No,Male,Mumbai
EMP1084,2019-04-12,Operations,Mid,81400,3,84,4.0,21,1.4,No,Male,Hyderabad
EMP1085,2022-05-03,HR,Lead,99600,2,11,2.7,36,0.5,No,Female,Hyderabad
EMP1086,2019-08-16,Engineering,Mid,116600,1,60,3.6,26,4.1,No,Non-binary,Bengaluru
EMP1087,2018-06-13,Operations,Junior,100400,4,40,3.6,28,0.8,No,Male,Bengaluru
EMP1088,2022-10-18,Finance,Junior,30000,4,32,4.6,2,1.7,No,Male,Bengaluru
EMP1089,2019-04-22,Finance,Senior,43000,3,49,3.4,12,7.9,No,Male,Mumbai
EMP1090,2022-11-10,Sales,Senior,59400,3,116,3.0,9,0.8,Yes,Male,Chennai
EMP1091,2018-07-26,Finance,Junior,75700,3,67,1.6,35,2.5,No,Female,Bengaluru
EMP1092,2020-02-18,Sales,Junior,87900,4,105,1.5,8,1.9,No,Male,Chennai
EMP1093,2019-07-24,Engineering,Senior,56900,3,70,1.6,26,0.1,No,Male,Mumbai
EMP1094,2020-07-17,HR,Junior,79700,5,85,1.7,33,5.5,No,Female,Chennai
EMP1095,2021-07-25,HR,Lead,56100,2,118,3.6,0,0.3,No,Male,Delhi
EMP1096,2022-09-05,HR,Senior,59700,4,32,4.0,31,2.3,No,Female,Chennai
EMP1097,2020-01-18,Finance,Junior,39800,3,80,3.1,24,2.9,No,Male,Bengaluru
EMP1098,2018-11-30,Engineering,Junior,51900,3,23,4.3,28,3.5,Yes,Female,Mumbai
EMP1099,2020-01-29,Finance,Manager,41200,4,60,5.0,6,4.1,Yes,Female,Bengaluru
EMP1100,2019-12-29,Finance,Mid,50600,4,60,4.3,2,1.0,No,Female,Delhi
EMP1101,2019-03-06,Engineering,Mid,101300,5,97,3.8,19,0.0,No,Female,Bengaluru
EMP1102,2021-10-04,Engineering,Lead,51300,2,27,3.1,19,4.5,No,Male,Bengaluru
EMP1103,2019-07-01,Engineering,Manager,140800,2,57,2.8,29,2.7,No,Male,Bengaluru
EMP1104,2021-12-08,Engineering,Manager,87300,4,42,1.3,34,6.3,No,Female,Hyderabad
EMP1105,2023-04-03,HR,Senior,79600,4,40,2.6,34,6.0,No,Female,Delhi
EMP1106,2021-10-31,Marketing,Mid,53500,3,38,4.6,38,6.5,No,Male,Bengaluru
EMP1107,2021-08-20,Marketing,Junior,92500,2,85,4.2,26,2.3,No,Male,Bengaluru
EMP1108,2018-05-27,Engineering,Senior,60600,2,48,1.9,25,1.4,No,Male,Bengaluru
EMP1109,2021-06-01,Marketing,Mid,78100,5,16,2.9,13,5.5,No,Male,Mumbai
EMP1110,2021-07-24,Marketing,Mid,139000,2,97,4.3,16,2.1,No,Male,Hyderabad
EMP1111,2018-12-17,Engineering,Lead,72600,3,69,1.3,17,0.7,No,Female,Mumbai
EMP1112,2020-12-29,Marketing,Junior,103700,3,109,2.5,28,6.8,Yes,Male,Hyderabad
EMP1113,2022-02-02,Finance,Mid,57400,3,69,4.4,19,7.5,No,Male,Bengaluru
EMP1114,2019-05-17,Sales,Junior,74100,2,97,2.6,26,2.2,No,Female,Delhi
EMP1115,2018-12-01,Sales,Mid,119300,3,64,1.3,17,0.3,Yes,Female,Chennai
EMP1116,2020-08-04,Engineering,Junior,59300,2,73,3.2,3,1.7,No,Female,Chennai
EMP1117,2020-02-17,HR,Junior,120300,4,84,4.4,0,5.7,No,Female,Bengaluru
EMP1118,2019-07-07,Engineering,Junior,92700,3,4,3.4,0,8.1,Yes,Male,Mumbai
EMP1119,2023-03-11,HR,Senior,60900,3,1,1.9,25,0.8,No,Female,Delhi
EMP1120,2021-08-03,Sales,Senior,90800,5,21,2.5,19,0.2,No,Female,Hyderabad
EMP1121,2021-11-10,Engineering,Mid,99300,4,111,2.8,22,7.3,Yes,Male,Bengaluru
EMP1122,2021-02-14,Operations,Manager,90500,3,56,3.3,9,1.7,No,Female,Delhi
EMP1123,2019-03-26,Finance,Mid,35700,3,65,4.0,10,2.7,No,Female,Delhi
EMP1124,2021-11-03,Marketing,Junior,56800,3,73,1.4,4,12.1,Yes,Male,Hyderabad
EMP1125,2019-10-27,HR,Lead,68800,4,97,4.6,0,0.2,No,Male,Delhi
EMP1126,2022-09-23,Operations,Junior,73100,5,15,1.0,16,3.7,No,Male,Mumbai
EMP1127,2022-04-23,Marketing,Manager,90500,4,111,2.5,21,0.3,Yes,Male,Mumbai
EMP1128,2022-05-09,Marketing,Junior,79400,4,50,1.1,33,1.6,Yes,Male,Mumbai
EMP1129,2018-04-25,Engineering,Manager,41600,4,38,2.6,28,5.7,No,Female,Delhi
EMP1130,2019-04-15,Marketing,Junior,84500,3,85,3.1,3,2.0,No,Male,Mumbai
EMP1131,2022-08-11,Finance,Lead,90300,2,75,3.0,4,15.0,No,Female,Hyderabad
EMP1132,2018-03-07,Operations,Mid,89000,4,87,1.7,10,2.9,No,Female,Delhi
EMP1133,2022-07-07,Marketing,Manager,102000,5,110,3.6,20,1.4,No,Female,Chennai
EMP1134,2019-10-09,Engineering,Junior,95800,2,39,1.2,34,0.9,No,Female,Delhi
EMP1135,2020-04-01,Finance,Mid,86500,4,37,4.0,11,1.5,No,Male,Hyderabad
EMP1136,2019-07-03,Sales,Manager,73200,3,59,4.8,25,1.6,No,Male,Chennai
EMP1137,2018-05-16,Operations,Mid,33500,3,58,2.4,18,0.2,No,Female,Delhi
EMP1138,2019-03-09,Marketing,Senior,85700,2,9,3.1,6,1.6,Yes,Female,Mumbai
EMP1139,2023-02-14,Engineering,Senior,80200,3,98,2.5,6,2.2,Yes,Female,Bengaluru
EMP1140,2023-04-16,Sales,Mid,81800,4,63,1.0,25,4.5,No,Male,Bengaluru
EMP1141,2021-03-07,Sales,Senior,43100,3,114,2.5,39,3.7,No,Female,Mumbai
EMP1142,2022-11-30,HR,Mid,48000,4,62,4.2,4,4.3,No,Male,Bengaluru
EMP1143,2022-01-10,Finance,Lead,101300,4,48,3.4,20,0.0,No,Female,Bengaluru
EMP1144,2019-10-07,Marketing,Junior,74000,5,63,1.4,13,0.9,No,Non-binary,Mumbai
EMP1145,2019-03-12,Engineering,Junior,92000,3,31,4.4,3,3.8,No,Male,Mumbai
EMP1146,2021-09-04,HR,Manager,75700,3,6,3.1,22,2.3,No,Female,Delhi
EMP1147,2020-10-19,Finance,Lead,75700,2,20,4.4,19,0.0,No,Male,Delhi
EMP1148,2020-03-21,HR,Mid,98500,5,19,3.3,14,5.7,No,Male,Mumbai
EMP1149,2022-12-17,Operations,Senior,62100,5,25,3.2,28,5.2,No,Male,Hyderabad
EMP1150,2023-02-16,Finance,Junior,77400,3,67,1.4,7,2.8,No,Female,Bengaluru
EMP1151,2021-08-09,Finance,Junior,63400,4,109,1.7,18,0.2,No,Female,Delhi
EMP1152,2020-07-28,Marketing,Mid,64100,3,115,4.9,38,5.1,No,Female,Bengaluru
EMP1153,2018-10-20,Finance,Mid,67300,4,85,1.9,27,3.1,No,Male,Chennai
EMP1154,2019-06-27,HR,Mid,80600,2,14,4.9,26,5.3,No,Female,Mumbai
EMP1155,2018-10-13,Finance,Junior,63000,4,119,3.1,3,4.9,Yes,Female,Hyderabad
EMP1156,2019-05-21,Marketing,Manager,106400,2,103,1.5,14,5.7,No,Male,Chennai
EMP1157,2022-03-06,Marketing,Manager,52600,4,84,1.4,34,2.6,No,Non-binary,Chennai
EMP1158,2021-02-23,Operations,Senior,70300,4,78,1.8,36,0.5,No,Male,Chennai
EMP1159,2021-01-08,HR,Mid,64000,4,85,4.7,0,3.9,No,Female,Mumbai
EMP1160,2019-06-23,Sales,Mid,111200,1,115,2.7,2,3.4,No,Male,Delhi
EMP1161,2022-03-10,Sales,Lead,79900,3,91,2.6,23,4.7,No,Male,Mumbai
EMP1162,2021-04-12,Finance,Senior,100800,3,13,2.3,26,0.7,No,Male,Delhi
EMP1163,2020-05-27,Operations,Junior,37900,3,26,1.6,39,0.8,No,Female,Chennai
EMP1164,2023-01-13,Engineering,Lead,81700,2,104,3.0,35,7.7,No,Male,Chennai
EMP1165,2021-04-10,Finance,Lead,97200,5,39,1.5,33,4.9,No,Male,Hyderabad
EMP1166,2020-03-28,Operations,Manager,77100,4,57,4.3,28,8.4,No,Female,Delhi
EMP1167,2020-01-12,HR,Senior,101600,3,27,2.5,23,5.0,Yes,Female,Chennai
EMP1168,2019-03-26,HR,Senior,62100,3,25,2.5,23,3.2,No,Male,Bengaluru
EMP1169,2018-10-11,HR,Mid,110200,3,112,2.9,3,3.7,No,Male,Hyderabad
EMP1170,2020-11-09,HR,Manager,132500,4,62,2.8,2,7.7,No,Male,Mumbai
EMP1171,2020-10-07,HR,Lead,65900,3,65,5.0,33,3.0,Yes,Male,Hyderabad
EMP1172,2018-07-06,Operations,Junior,63900,5,24,3.2,22,3.5,No,Female,Bengaluru
EMP1173,2022-03-28,Operations,Junior,111300,3,119,1.4,22,0.6,No,Female,Delhi
EMP1174,2018-04-07,Marketing,Mid,114500,5,2,3.4,4,2.2,Yes,Female,Mumbai
EMP1175,2022-10-30,Sales,Lead,61900,5,71,1.6,30,4.4,No,Male,Mumbai
EMP1176,2018-08-13,HR,Manager,64500,3,43,1.1,5,1.1,No,Female,Delhi
EMP1177,2018-11-10,Engineering,Junior,68000,5,96,4.9,36,0.8,No,Female,Hyderabad
EMP1178,2021-07-09,Operations,Mid,41400,2,41,4.1,9,1.3,No,Female,Chennai
EMP1179,2018-11-24,Engineering,Mid,52000,4,115,4.9,39,1.0,Yes,Female,Hyderabad
EMP1180,2022-06-11,Engineering,Manager,49900,3,98,2.9,6,0.8,No,Female,Bengaluru
EMP1181,2021-10-25,Engineering,Lead,55800,5,5,3.1,38,1.9,Yes,Female,Chennai
EMP1182,2020-05-14,Marketing,Lead,74100,5,38,1.7,37,8.3,No,Male,Hyderabad
EMP1183,2021-05-06,Operations,Mid,80900,4,51,2.0,20,2.5,No,Female,Delhi
EMP1184,2018-05-11,Engineering,Mid,113800,4,22,4.4,19,0.7,No,Female,Bengaluru
EMP1185,2020-02-28,HR,Junior,50000,3,88,2.4,2,0.3,Yes,Female,Bengaluru
EMP1186,2020-02-21,Finance,Junior,99600,2,49,4.3,21,4.2,No,Male,Bengaluru
EMP1187,2021-05-05,Engineering,Lead,69700,3,42,3.8,3,1.7,No,Female,Chennai
EMP1188,2020-08-16,Marketing,Lead,73800,2,18,1.7,27,6.0,No,Female,Mumbai
EMP1189,2020-12-19,Operations,Manager,91900,4,68,3.0,11,3.8,No,Male,Chennai
EMP1190,2019-05-30,Marketing,Manager,46900,3,50,3.7,37,5.6,No,Male,Hyderabad
EMP1191,2023-06-12,Engineering,Mid,84600,5,10,1.9,35,1.1,No,Female,Mumbai
EMP1192,2021-02-07,Operations,Senior,79200,4,119,4.3,4,4.1,No,Female,Hyderabad
EMP1193,2022-10-29,Finance,Manager,87300,4,11,3.2,12,1.1,No,Female,Mumbai
EMP1194,2023-04-15,Engineering,Lead,82200,2,73,1.7,22,9.8,Yes,Male,Chennai
EMP1195,2018-01-24,Marketing,Junior,136400,5,7,3.3,29,3.5,No,Female,Bengaluru
EMP1196,2021-10-25,Sales,Mid,59100,5,23,5.0,36,1.4,No,Male,Delhi
EMP1197,2022-01-16,HR,Junior,61700,3,91,1.6,24,1.1,No,Male,Bengaluru
EMP1198,2018-08-23,Marketing,Manager,59400,4,40,4.3,26,0.7,No,Male,Chennai
EMP1199,2021-10-28,Operations,Senior,61100,4,35,1.8,13,4.2,Yes,Male,Mumbai
EMP1200,2022-12-18,Engineering,Junior,59100,2,100,4.1,35,0.9,No,Male,Bengaluru
EMP1201,2021-01-04,HR,Senior,104700,3,84,3.9,38,3.2,No,Male,Chennai
EMP1202,2022-03-18,Engineering,Senior,110500,3,71,2.2,15,1.1,Yes,Male,Hyderabad
EMP1203,2019-07-01,Operations,Mid,60700,2,54,2.3,21,3.8,No,Male,Delhi
EMP1204,2022-04-24,Engineering,Junior,54200,3,8,4.2,20,5.9,Yes,Male,Bengaluru
EMP1205,2021-08-05,Sales,Senior,86800,2,46,2.8,20,5.3,No,Male,Mumbai
EMP1206,2019-11-28,HR,Mid,61200,1,14,3.9,7,5.0,Yes,Male,Hyderabad
EMP1207,2018-08-17,HR,Senior,90800,2,47,1.6,15,0.7,No,Female,Chennai
EMP1208,2019-08-25,Operations,Mid,80100,5,109,4.4,30,0.3,No,Male,Delhi
EMP1209,2020-06-09,Sales,Lead,37100,3,103,3.8,9,4.2,No,Male,Mumbai
EMP1210,2018-11-20,Marketing,Mid,113700,5,81,4.6,31,1.6,No,Male,Chennai
EMP1211,2020-07-18,Engineering,Mid,119900,3,41,1.5,33,2.0,No,Male,Chennai
EMP1212,2018-01-07,Finance,Lead,59700,3,59,3.4,8,0.1,No,Female,Bengaluru
EMP1213,2023-05-08,Engineering,Mid,65300,3,83,3.4,16,1.1,No,Female,Bengaluru
EMP1214,2022-01-18,Engineering,Junior,82100,3,69,2.4,10,0.1,No,Female,Mumbai
EMP1215,2022-11-29,Marketing,Junior,83400,2,11,2.8,31,7.4,No,Female,Chennai
EMP1216,2022-01-13,Engineering,Senior,91500,4,1,1.2,9,1.0,No,Female,Bengaluru
EMP1217,2019-06-24,Sales,Senior,125300,3,6,4.0,21,2.9,No,Male,Delhi
EMP1218,2023-06-14,Sales,Senior,70600,4,79,3.2,16,0.1,No,Male,Delhi
EMP1219,2020-10-22,HR,Junior,55000,4,2,1.2,3,3.8,No,Male,Chennai
EMP1220,2022-04-10,Operations,Junior,40500,2,108,3.7,24,1.4,No,Male,Bengaluru
EMP1221,2019-01-01,Finance,Junior,56700,2,2,2.9,20,8.0,No,Female,Mumbai
EMP1222,2020-11-05,Engineering,Mid,74200,4,26,1.1,36,7.7,No,Female,Mumbai
EMP1223,2023-02-13,Engineering,Mid,119900,3,113,4.9,37,1.4,No,Male,Mumbai
EMP1224,2018-08-06,Marketing,Mid,62100,2,106,4.8,0,8.1,No,Female,Delhi
EMP1225,2022-11-18,Operations,Mid,80600,5,39,3.1,24,15.0,No,Female,Bengaluru
EMP1226,2021-07-04,Sales,Lead,74600,2,101,1.4,35,6.1,Yes,Male,Bengaluru
EMP1227,2019-09-04,Finance,Mid,104700,4,32,4.0,16,6.5,No,Male,Delhi
EMP1228,2022-09-20,HR,Mid,138200,5,91,3.0,23,1.0,No,Male,Mumbai
EMP1229,2021-08-01,Sales,Senior,61700,3,0,2.2,1,3.0,No,Male,Mumbai
EMP1230,2020-11-05,Operations,Mid,62800,2,118,3.0,39,0.2,No,Male,Chennai
EMP1231,2021-06-01,HR,Senior,101100,2,7,3.1,14,0.3,No,Male,Hyderabad
EMP1232,2019-02-12,Marketing,Lead,92000,3,100,3.3,31,15.0,No,Male,Bengaluru
EMP1233,2018-11-10,Marketing,Manager,121200,2,31,2.8,38,1.4,No,Male,Bengaluru
EMP1234,2020-02-05,Engineering,Junior,89600,4,47,3.4,5,4.8,No,Non-binary,Bengaluru
EMP1235,2022-04-11,Operations,Manager,66000,2,106,4.7,0,5.8,No,Female,Hyderabad
EMP1236,2018-11-27,Finance,Mid,89800,3,100,2.4,22,6.8,No,Female,Chennai
EMP1237,2021-01-09,HR,Junior,102700,5,3,3.9,38,15.0,No,Male,Hyderabad
EMP1238,2023-05-07,Sales,Mid,95500,4,93,4.6,16,1.0,No,Male,Mumbai
EMP1239,2022-05-14,Operations,Manager,87700,4,69,2.8,33,0.1,No,Female,Mumbai
EMP1240,2023-03-05,Operations,Mid,101700,3,109,2.8,28,1.9,Yes,Male,Bengaluru
EMP1241,2020-12-22,Marketing,Mid,104200,4,117,3.4,8,0.5,No,Male,Delhi
EMP1242,2023-02-25,Engineering,Senior,109600,3,18,3.4,12,0.1,Yes,Female,Bengaluru
EMP1243,2018-01-02,Engineering,Junior,91200,3,31,4.2,5,1.6,No,Female,Delhi
EMP1244,2021-05-11,HR,Junior,70800,2,8,2.9,5,5.4,No,Male,Hyderabad
EMP1245,2019-10-26,Marketing,Junior,78700,5,11,5.0,19,2.9,No,Male,Mumbai
EMP1246,2020-09-27,Operations,Junior,105200,3,10,1.2,2,1.3,No,Male,Delhi
EMP1247,2018-02-09,Finance,Junior,54600,2,45,1.0,16,3.7,No,Male,Hyderabad
EMP1248,2018-08-18,Marketing,Junior,84200,3,118,3.6,11,0.9,No,Male,Mumbai
EMP1249,2023-03-18,HR,Senior,65200,3,15,2.2,0,0.1,No,Male,Delhi
EMP1250,2020-01-14,HR,Junior,75700,4,0,2.0,16,5.1,No,Male,Bengaluru
EMP1251,2022-12-05,Marketing,Mid,107000,4,62,2.2,2,3.4,No,Female,Bengaluru
EMP1252,2022-08-31,HR,Lead,79800,4,108,2.0,25,5.0,No,Female,Bengaluru
EMP1253,2022-07-11,Marketing,Mid,76200,1,118,1.1,14,0.1,No,Female,Hyderabad
EMP1254,2019-09-22,Sales,Senior,41000,3,116,4.9,35,6.4,No,Male,Bengaluru
EMP1255,2019-05-06,Marketing,Junior,93700,3,20,1.9,31,3.4,Yes,Male,Chennai
EMP1256,2018-04-29,Marketing,Junior,91100,1,29,3.9,31,2.9,No,Male,Mumbai
EMP1257,2019-05-09,HR,Junior,129100,3,12,4.1,3,3.4,No,Male,Hyderabad
EMP1258,2022-12-04,HR,Junior,67300,4,33,4.7,17,7.0,No,Male,Bengaluru
EMP1259,2021-03-07,Engineering,Junior,80500,2,3,1.1,18,3.1,Yes,Female,Mumbai
EMP1260,2023-04-24,Engineering,Junior,81200,3,27,4.5,34,3.0,No,Female,Delhi
EMP1261,2018-06-11,Sales,Junior,114400,3,101,3.1,39,15.0,No,Female,Bengaluru
EMP1262,2018-06-25,Engineering,Junior,72600,1,94,3.5,13,4.9,No,Male,Mumbai
EMP1263,2022-02-07,Marketing,Mid,82000,3,58,3.6,32,2.0,No,Female,Chennai
EMP1264,2020-09-22,HR,Junior,90200,5,118,4.3,13,4.3,No,Male,Delhi
EMP1265,2022-07-30,Engineering,Mid,79700,4,26,2.3,33,1.7,No,Male,Chennai
EMP1266,2018-05-22,Engineering,Mid,63800,5,68,3.9,3,0.9,No,Male,Mumbai
EMP1267,2022-04-07,Sales,Senior,79900,3,24,3.1,23,3.2,Yes,Female,Chennai
EMP1268,2020-12-26,Operations,Junior,101800,2,2,4.2,28,9.2,Yes,Non-binary,Mumbai
EMP1269,2022-04-18,Sales,Senior,49300,3,96,5.0,18,9.3,No,Male,Mumbai
EMP1270,2018-09-15,Marketing,Senior,78300,3,67,1.8,5,1.5,No,Female,Chennai
EMP1271,2018-09-20,HR,Junior,57500,4,24,5.0,32,2.6,No,Female,Mumbai
EMP1272,2021-09-13,Sales,Lead,104900,2,19,1.4,39,0.8,Yes,Male,Bengaluru
EMP1273,2020-08-31,Engineering,Manager,36900,3,33,1.0,18,15.0,No,Male,Mumbai
EMP1274,2023-04-24,HR,Junior,61000,2,25,1.2,0,13.9,Yes,Male,Hyderabad
EMP1275,2021-01-30,HR,Junior,84400,3,4,2.4,4,3.7,Yes,Non-binary,Mumbai
EMP1276,2018-12-05,Engineering,Lead,114100,4,98,3.5,26,5.7,No,Male,Hyderabad
EMP1277,2019-06-27,Sales,Senior,73400,3,60,1.3,15,4.4,No,Female,Mumbai
EMP1278,2020-12-16,Engineering,Junior,61100,3,91,1.0,5,3.1,Yes,Male,Mumbai
