campaign_id,campaign_name,channel,start_date,spend_usd,impressions,clicks,conversions,revenue_generated_usd,target_audience,region,ab_test_variant
CMP252,Diwali Sale,Organic SEO,2024-06-22,930,4971637,60909,3506,5080,45-54,ANZ,Variant A
CMP253,Summer Blitz,Email,2024-04-23,2090,2919278,212257,10233,5290,35-44,SEA,Control
CMP254,Diwali Sale,LinkedIn,2024-06-19,7730,2264477,126008,13367,44160,25-34,Middle East,Variant A
CMP255,New Year Push,Influencer,2024-03-27,2210,4878894,300674,20697,1920,18-24,India,Variant A
CMP256,Brand Awareness Q1,Influencer,2024-02-09,4720,4000705,40737,924,12340,25-34,Middle East,Variant B
CMP257,Brand Awareness Q1,Meta Ads,2024-09-18,2590,1846041,99643,9047,3850,25-34,India,Variant B
CMP258,Back-to-School,Google Ads,2024-11-20,3850,3737477,191336,11263,5610,18-24,SEA,Variant B
CMP259,Retargeting Wave,Organic SEO,2024-02-28,2370,794097,37802,2763,11950,18-24,SEA,Control
CMP260,B2B Enterprise Drive,Email,2024-09-28,5810,4488473,291798,31916,32390,25-34,SEA,Variant B
CMP261,Retargeting Wave,Google Ads,2024-09-18,640,1960481,95889,4379,3100,35-44,India,Control
CMP262,Product Launch X,Influencer,2024-04-09,2070,3433870,240359,10582,12170,45-54,SEA,Variant A
CMP263,New Year Push,Google Ads,2024-06-27,4010,4522696,118875,5506,7720,25-34,India,Variant B
CMP264,Back-to-School,Google Ads,2024-06-28,5080,3365408,223526,12028,7780,25-34,India,Control
CMP265,Retargeting Wave,Google Ads,2024-11-26,13270,206703,4661,143,46550,25-34,India,Variant A
CMP266,Diwali Sale,LinkedIn,2024-03-16,2020,2461327,164707,14777,10320,35-44,SEA,Control
CMP267,New Year Push,LinkedIn,2024-04-30,13090,3001297,227595,9272,13180,45-54,India,Control
CMP268,Brand Awareness Q1,Meta Ads,2024-02-22,1540,4715032,157946,17787,9200,35-44,India,Variant B
CMP269,B2B Enterprise Drive,Meta Ads,2024-03-15,11260,72173,3398,141,44270,45-54,India,Control
CMP270,B2B Enterprise Drive,Meta Ads,2024-05-11,6750,2837718,159147,7251,39760,35-44,India,Control
CMP271,Diwali Sale,YouTube,2024-04-11,1200,3189462,49637,2467,3240,35-44,ANZ,Variant A
CMP272,Back-to-School,Google Ads,2024-03-29,4050,239046,10658,1032,12890,25-34,Middle East,Variant B
CMP273,Back-to-School,Influencer,2024-11-04,2830,2297007,80948,5080,13340,45-54,India,Control
CMP274,New Year Push,Meta Ads,2024-03-19,5570,4555642,323778,33003,27420,55+,SEA,Control
CMP275,Brand Awareness Q1,Affiliate,2024-02-08,2380,2828251,201845,19878,4790,35-44,SEA,Variant B
CMP276,Retargeting Wave,Google Ads,2024-03-31,2190,4907021,289782,32730,12340,45-54,SEA,Control
CMP277,Diwali Sale,Organic SEO,2024-11-17,11720,3788288,211768,20257,62240,18-24,SEA,Control
CMP278,Diwali Sale,Meta Ads,2024-09-09,2700,3742918,229658,5785,2420,45-54,India,Variant B
CMP279,Brand Awareness Q1,Google Ads,2024-08-25,6810,3562854,126905,13163,10000,25-34,SEA,Variant A
CMP280,Diwali Sale,Influencer,2024-10-15,2380,2723063,104337,11874,8040,25-34,India,Variant B
CMP281,B2B Enterprise Drive,Influencer,2024-10-23,15780,2757878,134472,16051,50450,18-24,India,Control
CMP282,Retargeting Wave,Meta Ads,2024-08-17,1510,4324020,327163,10641,6770,55+,SEA,Variant B
CMP283,Retargeting Wave,YouTube,2024-10-16,1610,14907,904,73,2040,45-54,SEA,Variant B
CMP284,Retargeting Wave,Email,2024-11-25,13690,4173142,202686,8096,56860,45-54,India,Control
CMP285,Brand Awareness Q1,Influencer,2024-11-21,1910,3707796,237035,10963,7650,45-54,SEA,Control
CMP286,Summer Blitz,Meta Ads,2024-11-15,14780,4650399,167239,15813,29780,25-34,ANZ,Variant B
CMP287,Summer Blitz,Email,2024-06-14,7270,3104815,189805,22352,26320,55+,ANZ,Variant A
CMP288,Back-to-School,Email,2024-11-17,2550,1365247,52899,4204,4990,55+,SEA,Variant A
CMP289,Back-to-School,Meta Ads,2024-06-10,500,1964612,58105,6104,780,35-44,SEA,Variant A
CMP290,B2B Enterprise Drive,Influencer,2024-03-18,2920,4979808,262339,5479,11040,25-34,SEA,Variant B
CMP291,Diwali Sale,Google Ads,2024-08-13,3300,1824073,105944,2506,19410,35-44,India,Variant B
CMP292,Retargeting Wave,Google Ads,2024-02-04,9580,2193157,92442,7365,19470,55+,India,Control
CMP293,Diwali Sale,LinkedIn,2024-08-28,14600,4149671,205761,12118,38660,45-54,India,Control
CMP294,Brand Awareness Q1,LinkedIn,2024-08-14,1500,4136980,242363,26411,3200,45-54,SEA,Variant B
CMP295,Diwali Sale,Google Ads,2024-11-19,6640,2684968,171139,8590,14510,55+,SEA,Variant B
CMP296,Product Launch X,Meta Ads,2024-06-04,6410,1026983,74651,4718,18600,45-54,Middle East,Variant A
CMP297,Summer Blitz,Affiliate,2024-05-20,8720,1698495,59138,4304,38800,35-44,ANZ,Variant B
CMP298,Diwali Sale,Meta Ads,2024-10-29,4910,1831650,140310,6637,4920,35-44,India,Variant B
CMP299,Diwali Sale,LinkedIn,2024-01-29,500,1987167,108518,12029,2890,25-34,India,Control
CMP300,New Year Push,YouTube,2024-06-29,2550,186532,12150,807,2650,35-44,India,Variant B
CMP301,B2B Enterprise Drive,Email,2024-09-16,940,1373980,81042,5058,5060,35-44,ANZ,Variant A
CMP302,Diwali Sale,Affiliate,2024-02-07,2430,3296677,80406,8440,13250,45-54,ANZ,Control
CMP303,Product Launch X,YouTube,2024-06-07,7940,2520091,37803,1935,28010,25-34,Japan,Control
CMP304,Summer Blitz,Email,2024-08-24,4040,4582849,278820,28368,6110,18-24,SEA,Variant B
CMP305,New Year Push,Email,2024-08-19,9400,226099,10349,333,35140,18-24,ANZ,Variant B
CMP306,B2B Enterprise Drive,YouTube,2024-01-20,4200,3573918,211414,8092,17090,35-44,SEA,Control
CMP307,Brand Awareness Q1,LinkedIn,2024-01-30,810,1152322,49986,5752,4260,35-44,Middle East,Control
CMP308,Back-to-School,Influencer,2024-07-07,500,1679112,53490,5576,1830,25-34,ANZ,Variant A
CMP309,Brand Awareness Q1,Meta Ads,2024-05-26,3460,3839254,114990,6760,10160,25-34,SEA,Variant B
CMP310,Summer Blitz,Meta Ads,2024-02-09,2410,643288,39328,3297,12430,25-34,SEA,Variant B
CMP311,Back-to-School,Google Ads,2024-11-26,1120,3572312,104935,11993,6610,18-24,ANZ,Variant A
CMP312,Brand Awareness Q1,Google Ads,2024-02-16,540,2694971,161772,6662,2240,25-34,India,Variant A
CMP313,B2B Enterprise Drive,Google Ads,2024-11-10,1430,1616961,59629,1544,7650,25-34,India,Control
CMP314,Product Launch X,Influencer,2024-10-31,2450,3316784,212151,15645,9590,25-34,India,Variant A
CMP315,Diwali Sale,YouTube,2024-09-16,5800,966795,19332,662,25440,25-34,SEA,Control
CMP316,Summer Blitz,LinkedIn,2024-07-15,3600,2587467,63001,2440,15760,25-34,SEA,Variant B
CMP317,Back-to-School,LinkedIn,2024-08-24,14880,682510,39595,4321,66440,45-54,India,Control
CMP318,New Year Push,Organic SEO,2024-10-24,1060,236944,11661,241,2620,25-34,India,Variant A
CMP319,Diwali Sale,Email,2024-10-10,7190,4305675,104505,10626,27270,25-34,India,Control
CMP320,Brand Awareness Q1,Influencer,2024-01-22,3130,2400968,175745,12600,12170,25-34,SEA,Variant A
CMP321,Brand Awareness Q1,Meta Ads,2024-08-18,5970,412002,12078,917,14560,25-34,India,Control
CMP322,New Year Push,Influencer,2024-10-19,1930,3637980,143609,12519,5060,18-24,India,Control
CMP323,Product Launch X,YouTube,2024-04-06,8710,1849823,44692,2822,41490,18-24,India,Control
CMP324,B2B Enterprise Drive,Meta Ads,2024-06-13,4000,4090198,151999,4797,15320,35-44,India,Variant B
CMP325,B2B Enterprise Drive,Email,2024-11-05,1510,3033450,134731,4079,2380,35-44,ANZ,Control
CMP326,New Year Push,Email,2024-08-31,2950,3837511,117686,11231,15210,35-44,India,Variant B
CMP327,Summer Blitz,Google Ads,2024-09-13,2350,3342864,213396,8984,12670,35-44,ANZ,Variant A
CMP328,New Year Push,LinkedIn,2024-03-18,4860,4417176,165976,3785,15670,18-24,SEA,Variant A
CMP329,Brand Awareness Q1,Meta Ads,2024-02-01,920,2449436,149576,17644,1740,55+,Japan,Variant A
CMP330,Product Launch X,Google Ads,2024-08-18,2890,3833923,93912,11085,16550,18-24,India,Variant B
CMP331,Product Launch X,Affiliate,2024-02-22,4430,2675722,97376,5629,23870,35-44,India,Control
CMP332,Retargeting Wave,LinkedIn,2024-06-24,3080,657739,6948,156,6380,18-24,India,Control
CMP333,New Year Push,Influencer,2024-02-13,11460,713074,44998,4172,14860,45-54,India,Variant B
CMP334,Summer Blitz,YouTube,2024-09-15,6460,1775971,95568,9853,19970,35-44,SEA,Control
CMP335,Brand Awareness Q1,Meta Ads,2024-11-26,2960,2257313,151798,4933,12780,18-24,India,Variant B
CMP336,Diwali Sale,Email,2024-03-29,3700,2044242,85638,2872,6330,35-44,India,Control
CMP337,B2B Enterprise Drive,YouTube,2024-01-21,4010,2551199,168332,17207,13910,18-24,Middle East,Variant A
CMP338,B2B Enterprise Drive,Affiliate,2024-05-06,4460,4100978,226910,25457,13430,35-44,SEA,Control
CMP339,B2B Enterprise Drive,Meta Ads,2024-08-12,500,1135249,11639,1153,2720,35-44,India,Variant B
CMP340,Product Launch X,Influencer,2024-08-12,2200,1090052,30258,1212,6670,25-34,India,Variant A
CMP341,B2B Enterprise Drive,Influencer,2024-09-25,680,2406574,107266,6559,2430,25-34,India,Control
CMP342,New Year Push,YouTube,2024-09-24,10700,1231642,65656,5258,61710,18-24,Middle East,Control
CMP343,Retargeting Wave,Affiliate,2024-11-08,2800,2033978,29678,1069,6600,35-44,ANZ,Control
CMP344,Summer Blitz,Meta Ads,2024-03-22,2460,2862547,169908,6976,5660,25-34,ANZ,Variant A
CMP345,Summer Blitz,Affiliate,2024-07-05,7310,131259,6306,304,36240,35-44,Middle East,Control
CMP346,Back-to-School,YouTube,2024-07-09,4550,4095798,191701,13601,10210,55+,SEA,Control
CMP347,B2B Enterprise Drive,Google Ads,2024-05-24,960,843628,25682,1825,4920,25-34,India,Variant A
CMP348,Brand Awareness Q1,Influencer,2024-07-17,2780,1414399,73036,7408,3610,55+,India,Variant A
CMP349,Product Launch X,Email,2024-07-28,2130,3019445,36005,3431,2940,35-44,ANZ,Control
CMP350,Brand Awareness Q1,Email,2024-06-22,520,3337299,48487,5400,2850,25-34,Middle East,Control
CMP351,B2B Enterprise Drive,Email,2024-11-02,1490,4743012,291082,30065,5380,25-34,India,Variant A
CMP352,Retargeting Wave,Google Ads,2024-01-27,2480,4991954,162400,7370,11250,35-44,SEA,Variant B
CMP353,Diwali Sale,Email,2024-11-19,2660,129283,4432,235,5240,25-34,Middle East,Control
CMP354,B2B Enterprise Drive,Organic SEO,2024-06-20,680,4642412,114142,7994,1130,18-24,India,Variant B
CMP355,Diwali Sale,Google Ads,2024-02-03,9430,2332613,96088,2058,48490,25-34,Middle East,Control
CMP356,Diwali Sale,Meta Ads,2024-06-17,2690,3739073,50999,5629,7170,45-54,India,Control
CMP357,Summer Blitz,Google Ads,2024-02-18,3100,3882995,120471,2943,9820,35-44,SEA,Variant A
CMP358,Product Launch X,Meta Ads,2024-10-12,4450,4341602,203615,10637,4210,35-44,India,Control
CMP359,B2B Enterprise Drive,YouTube,2024-07-16,1360,4846700,206441,15878,3820,25-34,SEA,Variant A
CMP360,Brand Awareness Q1,Organic SEO,2024-05-25,4700,2898630,231823,16641,22590,45-54,SEA,Variant B
CMP361,Brand Awareness Q1,Affiliate,2024-05-09,2070,2348179,87384,7466,10500,55+,India,Variant B
CMP362,Retargeting Wave,LinkedIn,2024-11-04,1220,3006046,111494,8111,5410,18-24,Middle East,Control
CMP363,Diwali Sale,Meta Ads,2024-03-17,5290,1949353,88209,3784,23270,18-24,SEA,Control
CMP364,Product Launch X,Influencer,2024-06-19,13250,42117,982,39,45480,45-54,ANZ,Variant B
CMP365,Product Launch X,Organic SEO,2024-02-11,6150,3280708,234050,25915,22140,45-54,India,Control
CMP366,Retargeting Wave,LinkedIn,2024-10-25,7500,3024621,151408,7024,34960,35-44,Middle East,Variant A
CMP367,New Year Push,YouTube,2024-03-13,1770,2030558,47611,2289,3690,55+,India,Control
CMP368,Product Launch X,Influencer,2024-06-28,600,3360672,220261,13500,1200,35-44,India,Control
CMP369,Product Launch X,YouTube,2024-06-07,13230,4387653,54421,1847,75940,25-34,India,Control
CMP370,Brand Awareness Q1,Meta Ads,2024-07-19,23260,3891467,306567,21682,21960,35-44,India,Variant B
CMP371,Retargeting Wave,YouTube,2024-03-07,13940,3603557,254268,21994,21260,35-44,Middle East,Variant B
CMP372,B2B Enterprise Drive,Google Ads,2024-10-31,2130,4740965,239773,23641,8020,55+,India,Control
CMP373,Product Launch X,Meta Ads,2024-02-13,940,4244756,75517,6883,4360,25-34,India,Variant B
CMP374,Product Launch X,Meta Ads,2024-06-07,1030,953784,23910,831,3700,35-44,ANZ,Control
CMP375,Brand Awareness Q1,Google Ads,2024-10-13,550,4418319,130607,8568,1460,45-54,SEA,Control
CMP376,B2B Enterprise Drive,Google Ads,2024-07-11,2680,1866591,50159,1196,15770,25-34,ANZ,Variant B
CMP377,B2B Enterprise Drive,Google Ads,2024-11-25,14850,1826969,81896,1783,66230,25-34,India,Variant A
CMP378,Product Launch X,LinkedIn,2024-06-17,2590,1672106,127279,8147,13270,45-54,ANZ,Control
CMP379,Brand Awareness Q1,Organic SEO,2024-03-06,4030,4777560,196319,8892,4070,25-34,India,Control
CMP380,New Year Push,Affiliate,2024-09-26,11800,4858407,273574,24166,23920,35-44,Japan,Variant B
CMP381,Summer Blitz,Meta Ads,2024-02-17,1990,2265375,131846,12185,5460,45-54,SEA,Variant B
CMP382,Back-to-School,LinkedIn,2024-11-26,22820,2233742,158619,17375,39920,25-34,SEA,Variant B
CMP383,Brand Awareness Q1,Affiliate,2024-08-04,21850,2380948,29446,2828,25760,55+,India,Control
CMP384,Brand Awareness Q1,Google Ads,2024-09-17,2610,1690978,64769,1607,5140,35-44,India,Variant B
CMP385,Product Launch X,YouTube,2024-07-04,1670,250615,16272,930,5970,25-34,India,Control
CMP386,Brand Awareness Q1,Organic SEO,2024-01-10,5990,780492,52324,2475,26460,25-34,India,Variant B
CMP387,Retargeting Wave,Google Ads,2024-07-04,2110,1418209,106242,6227,10180,55+,India,Control
CMP388,Diwali Sale,Influencer,2024-06-07,940,239537,14179,510,960,25-34,ANZ,Control
CMP389,Diwali Sale,Organic SEO,2024-04-02,10730,4276061,116141,3457,32460,25-34,India,Variant A
CMP390,New Year Push,Google Ads,2024-04-19,10060,1602259,72737,5244,14440,25-34,ANZ,Variant B
CMP391,B2B Enterprise Drive,Google Ads,2024-06-23,3480,138407,1697,156,10590,25-34,India,Variant B
CMP392,Brand Awareness Q1,Google Ads,2024-09-05,840,1679842,92870,8376,2570,25-34,India,Control
CMP393,B2B Enterprise Drive,Meta Ads,2024-04-08,870,660860,32250,2099,2950,55+,ANZ,Variant A
CMP394,Retargeting Wave,Email,2024-04-25,3320,3374011,191234,13812,18070,45-54,ANZ,Variant B
CMP395,Product Launch X,Email,2024-03-11,1810,3945243,296326,21226,9030,25-34,SEA,Control
CMP396,Product Launch X,Meta Ads,2024-03-20,2120,373742,21717,1936,8720,25-34,India,Variant B
CMP397,Back-to-School,Influencer,2024-02-09,8280,403759,13094,324,44750,35-44,SEA,Variant B
CMP398,Summer Blitz,Meta Ads,2024-05-31,6210,3137090,75012,6825,26880,18-24,India,Control
CMP399,New Year Push,Google Ads,2024-02-21,11830,4137044,288867,22595,59840,45-54,India,Control
CMP400,Retargeting Wave,Meta Ads,2024-09-16,1110,4906901,115818,4610,4140,45-54,SEA,Control
CMP401,B2B Enterprise Drive,Email,2024-10-03,2110,1411891,30091,749,7450,45-54,India,Control
CMP402,Retargeting Wave,Meta Ads,2024-09-26,6370,4944380,120953,3731,29080,25-34,India,Variant A
CMP403,Back-to-School,Meta Ads,2024-01-20,4670,535901,24447,1771,4210,25-34,Middle East,Variant B
CMP404,Back-to-School,Google Ads,2024-06-21,13800,1251511,23394,2242,60580,18-24,ANZ,Variant A
CMP405,Product Launch X,Organic SEO,2024-11-12,4540,3060196,231559,12380,25690,25-34,India,Control
CMP406,B2B Enterprise Drive,Affiliate,2024-03-08,18920,867634,67361,3901,85380,25-34,SEA,Variant A
CMP407,Summer Blitz,Meta Ads,2024-11-01,5120,1997335,156123,17706,5080,45-54,India,Variant A
CMP408,Product Launch X,Meta Ads,2024-07-11,8620,1575925,20075,829,23830,45-54,ANZ,Variant B
CMP409,Summer Blitz,LinkedIn,2024-03-19,2160,4284970,326659,9922,10820,55+,SEA,Control
CMP410,Diwali Sale,YouTube,2024-03-24,3020,2648508,211401,11487,17470,45-54,India,Variant A
CMP411,Retargeting Wave,Meta Ads,2024-04-02,7410,840489,63851,6039,20190,18-24,India,Variant B
CMP412,Back-to-School,Influencer,2024-11-15,14960,2778059,158254,13073,77410,35-44,India,Variant A
CMP413,Diwali Sale,Email,2024-03-25,6180,4808829,284135,17496,32700,18-24,SEA,Control
CMP414,B2B Enterprise Drive,Email,2024-08-12,2740,3136780,58211,6780,3950,25-34,ANZ,Control
CMP415,Product Launch X,LinkedIn,2024-01-23,11820,272913,19431,1816,61440,35-44,India,Variant B
CMP416,New Year Push,Affiliate,2024-07-29,500,3830971,54303,1421,1240,35-44,India,Control
CMP417,Brand Awareness Q1,Organic SEO,2024-07-05,720,3254950,104943,9913,2800,35-44,India,Variant B
CMP418,New Year Push,Google Ads,2024-05-01,5890,2336083,185439,4154,21220,18-24,India,Variant B
CMP419,New Year Push,Meta Ads,2024-08-15,3020,4365538,172713,14686,12830,18-24,India,Control
CMP420,Brand Awareness Q1,Email,2024-11-08,5460,2135586,40962,1681,25390,18-24,SEA,Variant A
CMP421,Retargeting Wave,Meta Ads,2024-05-25,3180,3883979,302370,27105,9830,18-24,SEA,Control
CMP422,Diwali Sale,YouTube,2024-08-17,5280,448604,35390,1804,28610,25-34,Japan,Control
CMP423,Diwali Sale,Organic SEO,2024-04-29,1320,3463398,79980,8581,6610,35-44,Middle East,Variant A
CMP424,Retargeting Wave,YouTube,2024-09-30,5270,1208307,85229,4576,25740,45-54,SEA,Variant A
CMP425,Brand Awareness Q1,Affiliate,2024-05-02,8060,1818743,67893,5565,25650,25-34,ANZ,Control
CMP426,Summer Blitz,Meta Ads,2024-06-07,10100,1952188,71637,3481,10050,35-44,Japan,Variant B
CMP427,New Year Push,Influencer,2024-08-28,22330,28088,797,89,75020,25-34,India,Control
CMP428,Product Launch X,Organic SEO,2024-04-09,3810,1945929,25549,2506,20850,55+,India,Variant A
CMP429,Diwali Sale,Meta Ads,2024-07-07,3920,851430,24487,1085,7020,25-34,India,Variant A
CMP430,Retargeting Wave,YouTube,2024-10-19,650,1880390,25882,2973,3840,45-54,SEA,Control
CMP431,Product Launch X,Google Ads,2024-08-13,1750,4065097,303687,16920,8750,55+,ANZ,Variant B
CMP432,Back-to-School,Organic SEO,2024-08-24,2460,1193037,67192,5723,11050,45-54,India,Variant A
CMP433,Brand Awareness Q1,Email,2024-05-24,8520,4216656,303867,28650,36820,18-24,SEA,Variant A
CMP434,Product Launch X,Meta Ads,2024-07-14,1620,4326092,260475,5806,6240,35-44,SEA,Variant A
CMP435,B2B Enterprise Drive,LinkedIn,2024-09-14,6610,4613668,88536,10261,30060,18-24,India,Control
CMP436,Product Launch X,LinkedIn,2024-09-27,2980,3706844,281129,15305,8920,18-24,India,Control
CMP437,B2B Enterprise Drive,Google Ads,2024-08-02,2500,4172542,304564,11871,12990,18-24,India,Variant A
CMP438,New Year Push,Google Ads,2024-03-23,3820,3902619,134114,14091,16890,45-54,India,Variant B
CMP439,Brand Awareness Q1,Email,2024-04-12,2020,2552482,45452,4103,9720,45-54,ANZ,Variant B
CMP440,Product Launch X,Email,2024-11-05,1940,4839549,286940,8227,9550,25-34,ANZ,Control
CMP441,Diwali Sale,Influencer,2024-03-11,540,4741340,289152,9167,690,35-44,ANZ,Variant A
CMP442,Brand Awareness Q1,Influencer,2024-05-08,2330,4314462,313998,28736,2540,55+,ANZ,Control
CMP443,Diwali Sale,Email,2024-01-27,1840,1273165,17424,478,9140,25-34,ANZ,Control
CMP444,Retargeting Wave,Organic SEO,2024-11-24,1780,3838574,76461,8542,3820,25-34,SEA,Variant A
CMP445,Retargeting Wave,Email,2024-09-03,4520,3574284,185424,17458,17290,25-34,SEA,Variant A
CMP446,Back-to-School,YouTube,2024-07-09,5760,4421447,235836,12628,17900,45-54,SEA,Control
CMP447,Summer Blitz,Google Ads,2024-10-10,3760,2888553,35681,2008,3440,25-34,SEA,Variant A
CMP448,Retargeting Wave,Meta Ads,2024-02-22,8070,2903444,109707,7750,8150,45-54,India,Variant A
CMP449,Product Launch X,LinkedIn,2024-09-21,5300,4599927,234096,13132,27040,25-34,ANZ,Control
CMP450,Brand Awareness Q1,Google Ads,2024-03-04,2220,3175663,195791,19255,8790,25-34,India,Variant B
CMP451,Retargeting Wave,YouTube,2024-05-25,1880,2602381,83615,9822,6630,25-34,SEA,Control
CMP452,Diwali Sale,Organic SEO,2024-02-12,4080,2675519,117383,9208,23300,18-24,India,Variant A
CMP453,Product Launch X,Meta Ads,2024-03-23,5290,39111,2619,169,8990,25-34,India,Variant B
CMP454,Retargeting Wave,Email,2024-05-19,12060,2945134,226105,9559,25830,18-24,Japan,Variant A
CMP455,B2B Enterprise Drive,Influencer,2024-08-18,9810,2308921,60313,5147,46450,45-54,India,Variant B
CMP456,B2B Enterprise Drive,Organic SEO,2024-09-19,1730,4681637,129741,11489,8360,25-34,India,Control
CMP457,New Year Push,Meta Ads,2024-03-16,2690,1544605,117061,10362,7820,35-44,India,Variant A
CMP458,Diwali Sale,Meta Ads,2024-08-11,5830,2320160,87502,1986,33490,55+,ANZ,Variant A
